"ppm_HF_Concentration mole","Velocity: Magnitude (m/s)","X (m)","Y (m)","Z (m)"
2539.9777816462906,0.17736199692553165,77.291026415912725,66.227277529165193,25.032181629783999
2362.9246846515134,0.17831259264869279,77.290645320387711,66.224807959045165,25.030237317984923
2461.932084594067,0.17738402007648774,77.286279502127201,66.231780457658544,25.029202335846588
4569.0859758213483,0.17609819419295508,77.291004024991082,66.230562872620396,25.029620986816916
6458.9617811492344,0.17495404757229827,77.293162872384471,66.231773321743034,25.032191920410195
3088.7977741267214,0.17687842421586381,77.292755480034657,66.227237720086336,25.032603143177376
1807.6142211437316,0.17873204613069055,77.288098267627291,66.224262422326774,25.04099940213235
1518.3499463839753,0.17872440239156434,77.284161466679535,66.229644622143496,25.038885572799717
1238.2042796507942,0.17832478344750663,77.282713587178762,66.232982021108157,25.038653044312849
1816.6283148588936,0.17804773057199347,77.286277592302056,66.227272962277084,25.039430587105592
1988.5697534106189,0.17728770952834766,77.285795590564888,66.231995846996355,25.040728068985576
1571.8105464293399,0.17743767426542723,77.283912827379126,66.232989234955468,25.039701959794716
2909.1781501545315,0.17640141195442963,77.288868419146453,66.230578124919063,25.041299429021858
1997.3185127110448,0.17726900336624768,77.286581172730848,66.231592140248225,25.04101020485578
1561.0437433442671,0.17890355866349339,77.283805007172475,66.229716534765387,25.036943328003087
1801.9982513599834,0.17828221039744957,77.28619375470771,66.227292871740246,25.036988807706621
2165.8945211961491,0.17816752600274618,77.28863516095771,66.227292871740246,25.032105995206621
1762.5238615489509,0.17908228882108018,77.286382741433542,66.227266764076532,25.030138584982019
1803.3504899194704,0.17874437187173611,77.28619375470771,66.227292871740246,25.034547401456621
1681.2567338480815,0.17871906213401859,77.284747882513898,66.229191862015114,25.030601756875654
1845.2207893367454,0.1790402142344204,77.286172082267683,66.229781565677158,25.032065337650632
1854.2288724115274,0.17941281909706883,77.28407888215142,66.232156357540148,25.032401590451769
1569.0961062782035,0.17945001486181159,77.283672924949514,66.229744078803435,25.034543034667244
1167.5692202319553,0.17889740263093629,77.282427247409913,66.233000275182732,25.037091226535352
1910.5659828194009,0.17724207328831473,77.284431325866521,66.23313174983646,25.030472474985814
1388.535489907943,0.17788565281408364,77.282217741026926,66.234027744651513,25.03414111409149
2161.8450080712264,0.17708922005112382,77.283349202210857,66.234285098122058,25.031816068795177
1761.1979765701885,0.17786094752717518,77.284274869521184,66.231763308466711,25.030402818507593
2193.6191576564943,0.177893524776054,77.28863516095771,66.224851465490246,25.034547401456621
2805.9803501500064,0.17702304558113593,77.29107656720771,66.224851465490246,25.034547401456621
2164.7984206140563,0.17776748555767108,77.28863516095771,66.224851465490246,25.036988807706621
2737.2655575207955,0.1770968324360423,77.291144609722537,66.224848157953645,25.037037173078666
2125.5654307417062,0.17792890930693636,77.288689891654215,66.224869897766382,25.039586715687282
2611.5946338214007,0.17746402226426103,77.29082196326209,66.224846541039213,25.039136410500738
2447.563707676904,0.17830619568011385,77.290186154596896,66.221810981006968,25.040929258234257
3215.355439198127,0.17659528481942605,77.290479787527431,66.229317935651849,25.04110025148783
4423.8948424959372,0.17532314062859874,77.291442277491385,66.230679166347443,25.039767871191096
3625.0783654810584,0.17657695854167124,77.293102676978862,66.224825259246572,25.034521983071357
6713.6798119385994,0.17457465219032353,77.294119597033443,66.230559289141027,25.034492625434023
3578.7690190589083,0.17709803088935164,77.292974336945008,66.222389648938716,25.036647144584929
5462.479299290675,0.17553781141764507,77.2934679100766,66.229171958986115,25.037130149935507
4557.1139567320988,0.17582408404219224,77.292658555230716,66.228149662829381,25.038667996293654
2192.8093130654343,0.17812209749998131,77.28863516095771,66.224851465490246,25.032105995206621
2185.4940944799537,0.17857578222806489,77.288604365149467,66.224820602310871,25.029797739609535
2971.7934530571551,0.17719676322585529,77.28861586619432,66.230562424322628,25.028427413720195
2739.1125945335061,0.17732190862433111,77.29105870228527,66.224839807573318,25.032135415996912
2737.8558570765358,0.17846141066056606,77.290672503879861,66.222380337417505,25.030090169329881
1813.8187510263122,0.17916725075456683,77.286364167413794,66.22482055074488,25.030020929147149
2321.8337339623126,0.17771576278856838,77.286269829216025,66.230570414181585,25.028972379914098
4303.7980796193797,0.1764695068046595,77.291105977185609,66.229353067585151,25.029446959654123
5885.5299638537826,0.17530313071501935,77.293325975867305,66.230554759726871,25.032119346293761
3432.0118670601396,0.17685080893838129,77.292857030470614,66.224807451812453,25.032548073475866
1912.3547285681486,0.17916929868078721,77.288565276639574,66.222261584168479,25.041026433552101
1771.5931376644819,0.17853940321863979,77.286798290664876,66.224251790796671,25.040921150654608
2598.9210835142271,0.17708684634768371,77.288648690154574,66.229345800677876,25.041600934494582
1435.9616019871751,0.17872776483528297,77.284046154384399,66.227240872662833,25.039000779873213
1190.8372990978655,0.17852713090326003,77.282457167043418,66.231773441908871,25.038775874510428
1739.7779557326473,0.1783557132924378,77.286229207591745,66.224859586327767,25.039485829560853
1467.1070622043039,0.17783307549436861,77.283742816360984,66.231781079797457,25.039903484105164
1848.8367872305373,0.17761918646324146,77.28615881300874,66.230563542320027,25.041080443425098
1717.8418077251897,0.17876671605063532,77.28619375470771,66.224851465490246,25.034547401456621
1401.2256528976391,0.17892766119738493,77.283693932011673,66.227276091231857,25.036955793646499
1721.7099673004516,0.17842780971250813,77.28619375470771,66.224851465490246,25.036988807706621
1126.6789247065387,0.17897911355895224,77.282264274501742,66.232005393244776,25.037422041735301
1572.2294976047372,0.17946907292403425,77.284638293333245,66.227233586891799,25.030615320748399
1776.822030550602,0.17890929439388603,77.286209233522712,66.227296551608347,25.032115191142069
1408.4378055808547,0.17965268301573459,77.283674303697978,66.22729324605335,25.034571965608809
1374.3486847924892,0.17995918024576074,77.282298148272176,66.229134756545491,25.033923488668371
1541.7836952113669,0.1793378409744808,77.283969919370364,66.229701677847487,25.032290659920928
1738.6673327934679,0.17896105424275136,77.28619375470771,66.224851465490246,25.032105995206621
1463.0080249164416,0.17994933045188261,77.284504104048111,66.224774240502327,25.030565874709033
1252.8216804863321,0.17843359956217208,77.282004630117754,66.232866312083146,25.034397073883422
1680.195937477974,0.17809082860331199,77.283208968175146,66.23291136722726,25.031519378958105
1552.204509612334,0.17767085746628453,77.282293567477723,66.234024822823159,25.032965311801323
1543.079183012331,0.17843431834596288,77.283045499155435,66.231809235816584,25.031406574204546
1647.4410674537496,0.17833028258234526,77.28407595020893,66.23052547319746,25.030361957641603
2130.4217419497927,0.178605202563445,77.28863516095771,66.222410059240246,25.034547401456621
2818.9379014253686,0.17772902821695111,77.29107656720771,66.222410059240246,25.034547401456621
2104.09957324268,0.17844663206982969,77.28863516095771,66.222410059240246,25.036988807706621
2805.7964665667673,0.17754489430367806,77.291178640798393,66.22240888246904,25.037064705168955
2047.6462471269238,0.17858427729759926,77.288688954280786,66.22243995345228,25.039484675696137
2593.0302102814753,0.17807066269901661,77.290867290542707,66.222382841847974,25.039262711907043
